class,Blue 490nm,Green 560nm,Red 665nm,VRE 705nm,VRE 740nm,VRE 783nm,NIR 843nm,SWIR 1610nm,SWIR 2190nm,VRE 865nm
T12-C-1,0.0232999995350837,0.0531000010669231,0.0423000007867813,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3043999969959259,0.19480000436306,0.09740000218153,0.3425000011920929
T12-C-1,0.0186999998986721,0.0529000014066696,0.0381000004708766,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3424000144004822,0.19480000436306,0.09740000218153,0.3425000011920929
T12-C-1,0.0186999998986721,0.0463000014424324,0.0346000008285045,0.122699998319149,0.2946000099182129,0.3303000032901764,0.3199999928474426,0.197500005364418,0.096900001168251,0.3804999887943268
T12-C-1,0.0197000000625848,0.0471000000834465,0.0333999991416931,0.1158000007271766,0.2915000021457672,0.3427000045776367,0.3016000092029571,0.1870000064373016,0.0910999998450279,0.3802999854087829
T12-C-1,0.0230000000447034,0.0582000017166137,0.0438000001013278,0.1158000007271766,0.2915000021457672,0.3427000045776367,0.3643999993801117,0.1870000064373016,0.0910999998450279,0.3802999854087829
T12-C-1,0.0130000002682209,0.0513999983668327,0.032600000500679,0.1158000007271766,0.2915000021457672,0.3427000045776367,0.3779999911785126,0.1870000064373016,0.0910999998450279,0.3802999854087829
T31-C-11,0.0248000007122755,0.0419000014662742,0.0397999994456768,0.0899000018835067,0.1881999969482422,0.2221000045537948,0.2352000027894973,0.1121999993920326,0.0520999990403652,0.2437999993562698
T31-C-11,0.0258000008761882,0.0527999997138977,0.0434000007808208,0.1209999993443489,0.2632000148296356,0.2967000007629394,0.2942000031471252,0.1753000020980835,0.0883999988436698,0.3282999992370605
T31-C-11,0.0197999998927116,0.0540000014007091,0.0397999994456768,0.1209999993443489,0.2632000148296356,0.2967000007629394,0.3077999949455261,0.1753000020980835,0.0883999988436698,0.3282999992370605
T31-C-11,0.0218000002205371,0.0546000003814697,0.0412000007927417,0.119499996304512,0.2594000101089477,0.3055999875068664,0.3264000117778778,0.1668000072240829,0.0820000022649765,0.3350000083446502
T31-C-11,0.0207000002264976,0.048700001090765,0.0370999984443187,0.119499996304512,0.2594000101089477,0.3055999875068664,0.2996000051498413,0.1668000072240829,0.0820000022649765,0.3350000083446502
T31-C-11,0.0260000005364418,0.0658000037074089,0.0469999983906745,0.1209999993443489,0.2632000148296356,0.2967000007629394,0.3903999924659729,0.1753000020980835,0.0883999988436698,0.3282999992370605
T31-C-11,0.0254999995231628,0.0631999969482421,0.0487999990582466,0.119499996304512,0.2594000101089477,0.3055999875068664,0.3779999911785126,0.1668000072240829,0.0820000022649765,0.3350000083446502
T31-C-11,0.0249000005424022,0.060199998319149,0.0452000014483928,0.119499996304512,0.2594000101089477,0.3055999875068664,0.3420000076293945,0.1668000072240829,0.0820000022649765,0.3350000083446502
T31-C-11,0.0307000000029802,0.065200001001358,0.0516000017523765,0.1234999969601631,0.2460999935865402,0.266400009393692,0.36039999127388,0.1747999936342239,0.0935999974608421,0.2913999855518341
T31-C-11,0.0273000001907348,0.0640999972820282,0.0509999990463256,0.1278000026941299,0.2806000113487243,0.3183999955654144,0.3704000115394592,0.1903000026941299,0.1005999967455864,0.3504999876022339
T31-C-11,0.025000000372529,0.060199998319149,0.0472000017762184,0.1278000026941299,0.2806000113487243,0.3183999955654144,0.2978000044822693,0.1903000026941299,0.1005999967455864,0.3504999876022339
T31-C-11,0.0329000018537044,0.0676999986171722,0.0581000000238418,0.1234999969601631,0.2460999935865402,0.266400009393692,0.2775999903678894,0.1747999936342239,0.0935999974608421,0.2913999855518341
T31-C-11,0.0272000003606081,0.065700002014637,0.049600001424551,0.1278000026941299,0.2806000113487243,0.3183999955654144,0.3664000034332275,0.1903000026941299,0.1005999967455864,0.3504999876022339
T31-C-11,0.0252000000327825,0.0608000010251998,0.047699999064207,0.1278000026941299,0.2806000113487243,0.3183999955654144,0.3276000022888183,0.1903000026941299,0.1005999967455864,0.3504999876022339
T31-C-11,0.0229000002145767,0.0505999997258186,0.0425000004470348,0.1040000021457672,0.2285999953746795,0.2538999915122986,0.2766000032424927,0.1396999955177307,0.0745000019669532,0.2788000106811523
T31-C-11,0.0399999991059303,0.0641999989748001,0.0615000016987323,0.1177000030875206,0.2324000000953674,0.2714999914169311,0.2248000055551529,0.1888000071048736,0.0949999988079071,0.2930000126361847
T31-C-11,0.0307000000029802,0.0653999969363212,0.0544999986886978,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3188000023365021,0.19480000436306,0.09740000218153,0.3425000011920929
T31-C-11,0.0249000005424022,0.0621999986469745,0.0474999994039535,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3695999979972839,0.19480000436306,0.09740000218153,0.3425000011920929
T31-C-11,0.0217000003904104,0.0562000013887882,0.0450999997556209,0.1181000024080276,0.2736999988555908,0.321399986743927,0.3555999994277954,0.1775999963283538,0.0899000018835067,0.3477999866008758
T31-C-11,0.0175999999046325,0.0428000018000602,0.0335999988019466,0.1040000021457672,0.2285999953746795,0.2538999915122986,0.2675999999046325,0.1396999955177307,0.0745000019669532,0.2788000106811523
T31-C-11,0.015599999576807,0.0496999993920326,0.0346000008285045,0.1181000024080276,0.2736999988555908,0.321399986743927,0.3400000035762787,0.1775999963283538,0.0899000018835067,0.3477999866008758
T31-C-11,0.0197000000625848,0.0452000014483928,0.0351000018417835,0.1151999980211258,0.2572000026702881,0.3003000020980835,0.2946000099182129,0.1518999934196472,0.0768999978899955,0.3425999879837036
T31-C-11,0.0232999995350837,0.0531000010669231,0.0423000007867813,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3043999969959259,0.19480000436306,0.09740000218153,0.3425000011920929
T31-C-11,0.0186999998986721,0.0529000014066696,0.0381000004708766,0.1190000027418136,0.2614000141620636,0.3061999976634979,0.3424000144004822,0.19480000436306,0.09740000218153,0.3425000011920929
T31-C-11,0.0199999995529651,0.0555999986827373,0.0386000014841556,0.1181000024080276,0.2736999988555908,0.321399986743927,0.3596000075340271,0.1775999963283538,0.0899000018835067,0.3477999866008758
